tconst,Revenue,Budget,Production_Company
tt0106827,"$1,450,029",,Emshell Production Grou
tt0106834,"$1,708,873",,Fine Line Features
tt0106856,"$40,903,593",,Warner Bros.
tt0106868,"$12,890,752",,Walt Disney Studios Motion Pictures
tt0106770,"$63,513,743",,Universal Pictures
tt0106701,"$117,270,765",,Warner Bros.
tt0106697,"$58,055,768",,Warner Bros.
tt0106926,"$9,709,451",,Paramount Pictures
tt0106873,"$7,839,327",,Metro-Goldwyn-Mayer (MGM)
tt0107004,"$18,635,620","$35,000,000",Columbia Pictures
tt0107096,"$5,864,949","$33,000,000",Warner Bros.
tt0107009,"$5,086,909",,Twentieth Century Fox
tt0107091,"$16,589,540",,Universal Pictures
tt0107034,"$60,613,008",,Twentieth Century Fox
tt0107088,"$8,906",,Castle Hill Productions
tt0107079,"$18,225,518",,Twentieth Century Fox
tt0107076,"$74,189,677",,Universal Pictures
tt0107057,"$22,866,222",,Walt Disney Studios Motion Pictures
tt0107050,"$70,172,621",,Warner Bros.
tt0107048,"$71,108,591",,Columbia Pictures
tt0107120,"$50,789,441",,Walt Disney Studios Motion Pictures
tt0107130,"$1,677,807",,Gramercy Pictures (I)
tt0106977,"$368,875,760",,Warner Bros.
tt0106918,"$270,248,367",,Paramount Pictures
tt0106880,"$233,824",,IDP Distribution
tt0107156,"$6,933,459","$1,000,000",The Samuel Goldwyn Company
tt0106881,"$6,995,302",,Warner Bros.
tt0106912,"$19,885,552",,Paramount Pictures
tt0107152,"$736,455",,Fine Line Features
tt0106966,"$2,087,569",,Miramax
tt0107151,"$6,265,311","$40,000,000",Miramax
tt0107144,"$133,752,825",,Twentieth Century Fox
tt0106941,"$11,146,270","$30,000,000",Universal Pictures
tt0107131,"$41,833,324",,Walt Disney Studios Motion Pictures
tt0106965,"$153,709,806",,Warner Bros.
tt0107007,"$10,769,960",,New Line Cinema
tt0106466,"$17,952,857",,Walt Disney Studios Motion Pictures
tt0106350,"$543,091",,Fine Line Features
tt0106535,"$322,975",,October Films
tt0106315,"$8,041,049",,Walt Disney Studios Motion Pictures
tt0106307,"$112,547",,Kit Parker Film
tt0106292,"$20,208,496",,Walt Disney Studios Motion Pictures
tt0106266,"$9,745,803",,Columbia Pictures
tt0106246,"$36,733,909",,Walt Disney Studios Motion Pictures
tt0106353,"$115,842",,IRS Media
tt0106364,"$5,848,204",,Warner Bros.
tt0106469,"$4,496,583",,Walt Disney Studios Motion Pictures
tt0106471,"$1,796,389",,Orion Pictures
tt0106452,"$428,868",,Warner Bros.
tt0106489,"$17,287,898",,Savoy Picture
tt0106500,"$17,953,778",,Universal Pictures
tt0106400,"$57,405,220",,Twentieth Century Fox
tt0106393,"$6,608,687",,Twentieth Century Fox
tt0106387,"$23,261,580",,Metro-Goldwyn-Mayer (MGM)
tt0107207,"$65,796,862",,Universal Pictures
tt0106519,"$63,848,322","$30,000,000",Universal Pictures
tt0106521,"$1,753,979",,Concorde Pictures
tt0106375,"$118,243,066",,Universal Pictures
tt0106233,"$2,850,263",,Warner Bros.
tt0106226,"$32,255,953","$34,000,000",Columbia Pictures
tt0106223,"$24,103,594",,Walt Disney Studios Motion Pictures
tt0108148,"$14,694,904","$11,000,000",Miramax
tt0106660,"$1,261,210",,Metro-Goldwyn-Mayer (MGM)
tt0106664,"$10,611,160",,Orion Pictures
tt0106673,"$63,270,710",,Warner Bros.
tt0105226,"$2,502,551","$8,000,000",Roxie Releasing
tt0106677,"$8,152,740",,Gramercy Pictures (I)
tt0106684,"$18,369",,Trimark Pictures
tt0106611,"$154,856,263","$14,000,000",Walt Disney Studios Motion Pictures
tt0106220,"$48,919,043",,Paramount Pictures
tt0106579,"$26,351",,Strand Releasing
tt0106455,"$10,058,318",,Warner Bros.
tt0106582,"$255,000,211","$70,000,000",TriStar Pictures
tt0106598,"$21,274,717",,Paramount Pictures
tt0106613,"$40,689,691",,Universal Pictures
tt0106627,"$13,609,396",,Warner Bros.
tt0106642,"$8,540",,Icarus Films
tt0107206,"$176,997,168","$40,000,000",Columbia Pictures
tt0108147,"$57,319,029",,Walt Disney Studios Motion Pictures
tt0107209,"$810,455",,Sony Pictures Classics
tt0107983,"$3,275,585",,Gramercy Pictures (I)
tt0107985,"$56,500,758",,Twentieth Century Fox
tt0109665,"$256,264",,Gramercy Pictures (I)
tt0142242,"$658,982",,Fathom Events
tt0108002,"$22,881,563",,TriStar Pictures
tt0108037,"$34,348,443",,Twentieth Century Fox
tt0108052,"$322,161,245","$22,000,000",Universal Pictures
tt0108101,"$25,842,377","$22,000,000",Savoy Picture
tt0108065,"$7,266,383",,Paramount Pictures
tt0108069,"$70,441",,Tara Releasing
tt0108071,"$31,181,347",,Warner Bros.
tt0108072,"$18,719",,Castle Hill Productions
tt0109297,"$16,696,219",,New Line Cinema
tt0109838,"$29,296",,Twentieth Century Fox
tt0107843,"$30,038,362",,Warner Bros.
tt0107863,"$18,289,763",,Gramercy Pictures (I)
tt0108174,"$11,585,483",,TriStar Pictures
tt0108185,"$140,081,992",,Warner Bros.
tt0107889,"$23,032,565",,Walt Disney Studios Motion Pictures
tt0110265,"$418,961","$1,500,000",October Films
tt0108186,"$36,448,400",,Walt Disney Studios Motion Pictures
tt0107927,"$6,484,246",,Universal Pictures
tt0108187,"$2,438,031",,Metro-Goldwyn-Mayer (MGM)
tt0107943,"$23,237,911",,Columbia Pictures
tt0107953,"$54,207",,Trimark Pictures
tt0107969,"$107,198,790",,Twentieth Century Fox
tt0107977,"$35,739,755",,Twentieth Century Fox
tt0107978,"$10,696,210","$22,000,000",Orion Pictures
tt0108500,"$659,810",,Miramax
tt0108255,"$20,915,465","$48,000,000",Walt Disney Studios Motion Pictures
tt0108258,"$4,916,135",,New Line Cinema
tt0108265,"$5,632,086",,Walt Disney Studios Motion Pictures
tt0108451,"$18,898,806",,Metro-Goldwyn-Mayer (MGM)
tt0108473,"$14,543,394",,Twentieth Century Fox
tt0108135,"$61,274",,Trimark Pictures
tt0108517,"$3,902,679",,Trimark Pictures
tt0108565,"$1,614,784",,New Line Cinema
tt0108560,"$11,299,730",,New Line Cinema
tt0108551,"$39,100,956",,Walt Disney Studios Motion Pictures
tt0108525,"$48,198,019","$40,000,000",Paramount Pictures
tt0108550,"$10,032,765",,Paramount Pictures
tt0108539,"$12,741,891",,TriStar Pictures
tt0108442,"$12,324,660",,Metro-Goldwyn-Mayer (MGM)
tt0108308,"$42,273,609","$21,000,000",New Line Cinema
tt0108311,"$6,419,876",,Paramount Pictures
tt0108399,"$13,088,850",,Warner Bros.
tt0108188,"$58,834",,Miramax / Rolling Thunde
tt0108207,"$3,246,063",,Universal Pictures
tt0108333,"$53,898,845",,Walt Disney Studios Motion Pictures
tt0108122,"$6,110,979",,Fine Line Features
tt0108330,"$4,104,962",,Warner Bros.
tt0108211,"$152,972",,Strand Releasing
tt0108238,"$24,107,867",,Columbia Pictures
tt0108649,"$217,300",,Strand Releasing
tt0108327,"$1,029,721","$14,000,000",Paramount Pictures
tt0108410,"$89,558",,Triton Pictures
tt0107840,"$27,515,786",,Columbia Pictures
tt0108394,"$1,503,943",,Miramax
tt0107822,"$40,185,556",,Miramax
tt0107438,"$10,340,263",,TriStar Pictures
tt0107468,"$1,498,795",,Warner Bros.
tt0107472,"$449,707",,Kino International
tt0107473,"$11,081,586",,Universal Pictures
tt0107478,"$104,942,695",,Warner Bros.
tt0108358,"$56,505,065",,Walt Disney Studios Motion Pictures
tt0107497,"$46,405,336",,Columbia Pictures
tt0107501,"$24,760,338",,Warner Bros.
tt0107507,"$11,330,911",,TriStar Pictures
tt0107529,"$9,532,895",,Universal Pictures
tt0107554,"$27,912,072",,New Line Cinema
tt0107563,"$8,016,708",,Metro-Goldwyn-Mayer (MGM)
tt0107594,"$1,039,824",,Walt Disney Studios Motion Pictures
tt0107606,"$737,548",,Miramax
tt0107426,"$4,858,139",,Miramax
tt0107413,"$12,440,858",,Walt Disney Studios Motion Pictures
tt0107211,"$266,614,059",,Paramount Pictures
tt0107212,"$14,904,910",,Walt Disney Studios Motion Pictures
tt0108149,"$6,405,918",,Metro-Goldwyn-Mayer (MGM)
tt0107247,"$5,145,823",,Twentieth Century Fox
tt0107254,"$15,935,068",,New Line Cinema
tt0107277,"$1,640,220",,Columbia Pictures
tt0108366,"$101,071",,Strand Releasing
tt0107282,"$32,901,136",,Walt Disney Studios Motion Pictures
tt0107286,"$12,526,677",,Universal Pictures
tt0107290,"$1,114,429,886","$63,000,000",Universal Pictures
tt0107302,"$2,395,231",,Gramercy Pictures (I)
tt0107322,"$1,214,231",,Gramercy Pictures (I)
tt0107349,"$308,368",,Sony Pictures Classics
tt0107362,"$137,298,489","$85,000,000",Columbia Pictures
tt0107612,"$4,348,572",,New Line Cinema
tt0107614,"$441,286,195","$25,000,000",Twentieth Century Fox
tt0107688,"$101,684,438",,Walt Disney Studios Motion Pictures
tt0107711,"$22,189,039",,Columbia Pictures
tt0107719,"$2,119,994","$19,000,000",Warner Bros.
tt0107616,"$22,549,338","$11,000,000",The Samuel Goldwyn Company
tt0107750,"$3,283,371",,Twentieth Century Fox
tt0107779,"$44,159",,Alliance Atlantis Vivafilm
tt0107798,"$195,268,056",,Warner Bros.
tt0108160,"$227,927,165","$21,000,000",TriStar Pictures
tt0108162,"$116,300,000",,Paramount Pictures
tt0107808,"$135,130,999",,Warner Bros.
tt0107818,"$206,678,440","$26,000,000",TriStar Pictures
tt0108171,"$18,994,653",,TriStar Pictures
tt0107819,"$2,970",,Trimark Pictures
tt0107745,"$6,582,052",,Twentieth Century Fox
tt0108526,"$9,317,021",,Universal Pictures
tt0107659,"$27,979,399",,New Line Cinema
tt0107665,"$15,185,672",,Columbia Pictures
tt0107630,"$27,804,899",,Columbia Pictures
tt0112389,"$669,276","$25,000,000",Miramax
tt0107626,"$3,335,984",,Walt Disney Studios Motion Pictures
tt0107617,"$1,700,992",,First Look International
tt0107653,"$1,797,195",,New Line Cinema
tt0104299,"$17,129,026",,Warner Bros.
tt0104694,"$132,440,069","$40,000,000",Sony Pictures Releasing
tt0104695,"$23,369,283",,Paramount Pictures
tt0104291,"$127,956,187",,Warner Bros.
tt0104321,"$1,342,613",,IRS Media
tt0104346,"$9,223,441",,Columbia Pictures
tt0104348,"$10,725,228",,New Line Cinema
tt0104670,"$14,796,494",,Paramount Pictures
tt0104647,"$21,142,815",,Universal Pictures
tt0104201,"$279,627",,IRS Media
tt0104779,"$1,862,805",,Fine Line Features
tt0104627,"$923,418",,Republic Pictures (I)
tt0104187,"$40,693,477",,Walt Disney Studios Motion Pictures
tt0104231,"$137,783,840","$60,000,000",Universal Pictures
tt0104350,"$1,253,106",,The Samuel Goldwyn Company
tt0104237,"$7,532,911",,New Line Cinema
tt0104691,"$75,505,856","$40,000,000",Twentieth Century Fox
tt0104254,"$32,710,894",,Twentieth Century Fox
tt0104257,"$243,240,178","$41,000,000",Columbia Pictures
tt0104265,"$28,590,665",,Warner Bros.
tt0104765,"$1,014,726",,Orion Pictures
tt0104756,"$7,286,388",,Universal Pictures
tt0104466,"$10,555,619",,TriStar Pictures
tt0104431,"$358,994,850",,Twentieth Century Fox
tt0104437,"$58,662,452",,Walt Disney Studios Motion Pictures
tt0104438,"$35,208,854","$25,000,000",Columbia Pictures
tt0104452,"$94,900,635",,Universal Pictures
